Feature,GSM530360.CEL,GSM530362.CEL,GSM530364.CEL,GSM530366.CEL,GSM530368.CEL,GSM530370.CEL,GSM530372.CEL,GSM530374.CEL,GSM530376.CEL,GSM530378.CEL
100505549,5.400727902,5.039317774,5.058760579,5.262651034,4.95413204,4.909327364,4.791898826,4.879153473,4.981837351,5.094761852
100505570,3.685783886,3.641033731,3.838409322,3.648021973,3.945435347,3.75423909,3.787362803,3.9782125,3.810311481,3.842513053
100505573,6.998757186,7.200178575,6.591649184,6.458556454,7.117806829,6.674993001,7.692042459,7.878274663,7.641397941,7.209250154
100505576,3.680329079,3.784231363,4.195849809,4.204519494,3.714806064,3.948260674,4.130412291,4.114760061,4.312837319,3.97597262
100505592,4.075751144,4.539924405,3.430354379,3.542720417,4.23391811,6.023275499,4.045626517,4.202035513,4.743388344,5.087548796
100505633,3.519966713,3.655076925,3.449700911,3.279590529,3.792098503,3.749309872,3.328664179,3.427141166,3.484246309,3.547091118
100505641,10.29116955,10.23661757,10.6597389,10.63972898,10.37718616,10.32293432,10.43294308,10.40174956,10.33910835,10.23674312
100505648,3.597198537,3.451755445,3.753793491,4.092562971,3.588793921,3.705668442,3.654361746,3.630912471,3.538806579,4.011485598
100505666,3.908558006,3.884069911,4.078175593,3.83739023,3.831521472,3.936786907,3.823531677,4.020263238,3.884301969,3.7781275
100505679,4.316714642,4.34464096,4.714321214,4.835065665,4.371275807,4.596283084,4.337978412,4.319344514,4.729308367,4.492560113
100505685,3.375546107,3.364083487,3.358317644,3.232880092,3.407680801,3.350474811,3.307295946,3.367776126,3.246059976,3.364901699
100505687,7.190544109,7.328809778,8.017494029,8.17895377,7.200870132,6.646885359,7.145738801,7.198262835,6.886833378,6.800437893
100505696,3.488871432,3.409234454,3.806617426,3.974918388,3.579767338,3.6961138,3.633879742,3.495017116,3.806617652,3.593158115
100505702,4.375404597,4.513696294,4.879464407,4.927766824,4.407139536,4.338078815,4.026199802,4.276525707,4.274162982,4.440894042
100505746,3.685760205,3.572344936,3.686625376,3.878781668,3.588115073,3.793649311,3.719364787,3.800459066,3.719451565,3.815680265
100505768,3.319366312,3.291063356,3.351265959,3.272743036,3.123992366,3.240952463,3.199514325,3.153043446,3.29679599,3.265735563
100505776,3.23037069,3.219538728,3.225123749,3.237476415,3.246364125,3.089466991,3.286616784,3.197983402,3.210246089,3.168296189
100505806,3.492517945,3.709163308,3.896213313,3.684171057,3.762617776,3.863404813,3.741725462,3.805677875,4.021621049,3.8774548
100505812,9.191005523,9.214177861,9.047310271,9.208135784,8.804742885,8.828288925,8.922614184,8.946405305,8.537349229,8.700096918
100505817,3.646572315,3.524834473,3.527196578,3.531931856,3.460201403,3.552945847,3.421504659,3.426321292,3.601373968,3.482800289
100505841,3.489356307,3.543725962,3.522924486,3.191447722,3.51026434,3.480854437,3.432887834,3.342774658,3.428437936,3.521718447
100505854,6.317397948,6.315212679,5.500713429,5.447754884,4.761201028,4.899215986,5.836775786,5.10845789,5.253740838,5.376437062
100505865,3.833551774,3.856104973,5.107629582,4.498907199,3.680643553,3.734292106,3.750308529,3.643029823,3.724462106,3.750632135
100505874,3.39996375,3.392997826,3.429235371,3.43268066,3.196584302,3.515708275,3.283781242,3.444388001,3.636271663,3.345120537
100505876,7.766480253,7.894330068,7.752943453,7.734337642,7.149049145,7.849324206,7.711440853,7.913362647,8.015928011,8.103258644
100505881,7.909700681,7.843769373,4.739056472,4.236358695,8.165824942,8.756827427,8.459150075,8.483083709,8.246113328,8.65300159
100505893,3.497035141,3.419552074,3.416074734,3.599032886,3.431716144,3.490351481,3.449750794,3.603887494,3.521905523,3.514842181
100505894,4.153973154,4.362222486,3.955820892,3.920107591,4.270847303,4.424888848,4.008564528,4.280594811,4.328636495,4.414595437
100505920,3.465572165,3.497438739,3.532028965,3.582145664,3.512349708,3.64467228,3.605348168,3.566191555,3.450600902,3.642975231
100505929,3.101343546,3.207100319,3.263698871,3.109476621,3.174978781,3.112363393,3.18262528,3.161133332,3.191180612,3.138734585
100505938,4.21890061,4.216307993,6.182581877,6.137904315,4.797735552,5.064599638,4.430936173,4.338966248,4.469437624,5.204013742
100505975,3.611934758,3.45200301,3.570772076,3.314011419,3.638167799,3.521778746,3.510057385,3.439093178,3.377013054,3.506315206
100505978,3.867601822,4.029954042,4.057435521,3.950003832,3.881263143,3.762354772,4.042949798,4.088581712,4.125330779,3.941959931
100505989,3.252777001,3.216007338,3.501298373,3.459135112,3.227968043,3.216322217,3.246768742,3.34492753,3.307685512,3.329192283
100506012,3.360909732,3.411172759,3.447882631,3.45706555,3.54540853,3.359861152,3.602800913,3.511512497,3.545041636,3.339921825
100506022,3.601863833,3.837871709,3.840700239,3.695363775,3.736172896,3.937021556,3.781819824,3.976436207,3.84426951,3.944179983
100506054,4.482544919,5.222544368,4.203810021,4.11910383,4.490041952,4.467498903,4.921340771,5.423338202,4.375870436,4.722627602
100506100,6.302677743,6.284585597,6.321296068,6.26571539,5.840377306,6.037886793,6.039002815,6.144167536,6.530645131,6.171631191
100506119,3.806925783,3.710750686,3.811628266,3.858137349,3.675192363,3.629779443,3.816402355,3.784026203,3.870176159,3.843085195
100506211,3.537338636,3.472807754,3.889309244,3.998470436,3.867470405,3.471893881,3.561600085,3.420043334,3.339951236,3.430500798
