Feature,GSM272854.CEL,GSM272859.CEL,GSM272860.CEL,GSM272861.CEL,GSM272862.CEL,GSM272863.CEL,GSM272864.CEL,GSM272865.CEL,GSM272866.CEL,GSM272867.CEL,GSM272868.CEL,GSM272870.CEL
51619,5.78587261323451,5.8553765460651,5.52109403436017,5.78304315448798,5.65894020658003,5.53706822936821,5.21485454960846,5.23715907762246,5.49219635210765,5.46484970350851,5.5288231328938,5.8595182829423
5162,6.18204221154772,5.8562248492576,6.17870267227607,6.09262898117729,5.97855037872881,5.93972762251699,5.95948685785345,6.02292551417361,6.2272561512852,6.41229436400953,6.2000866479907,6.4208590930861
51622,3.50420918119181,3.33598097603411,3.18774941576435,3.33035199444648,3.42694865485401,3.436636510391,2.98167434876735,3.30490431465746,3.33598097603411,3.18255505971947,3.13140024389354,3.64191555303814
51626,2.37416727603698,2.03944353423777,2.67636173719094,2.53267412100129,2.54653412936414,3.84168372199566,3.34597277933651,3.18588408314329,2.77369416611821,2.78688659150254,2.36545167792303,2.58265690103831
5163,3.38614165934851,3.36667501944127,3.15893312195091,3.74653290880598,3.47215018280158,3.22929791027213,2.80391567533202,3.41756322458592,3.31454349526473,3.31263551247441,3.34631445886203,3.46900242024743
51634,3.73753566218791,3.84701739920791,4.06401960277598,3.89925988036714,3.97341789262735,3.87623623205931,4.23886025441999,4.03636222095025,4.22768498816116,4.27844456524043,4.11999924715478,3.95590389985616
51635,7.01129272942736,6.87915003577428,7.15783176677935,7.07416106363003,6.84393839712456,7.11424187238776,6.89236650182661,6.9042968260256,6.60489387532504,6.38281320510534,6.49298132710116,6.30237769873388
51637,8.75757329251625,8.66683612461025,8.8269657086783,8.62737174173895,8.72934320313308,8.99307419103559,8.91751487860148,8.98550702983383,8.88861489342471,8.87502862035237,8.85241916819943,8.82578488349213
5164,3.98980595177429,3.82295577507927,4.08244742934306,3.92160132917961,3.92189520763498,3.81352640810356,3.79746284399203,3.62574838823588,3.90590046980527,3.66475876644724,3.79876464576576,3.75194389565387
51642,5.83796792419306,5.83297404693574,6.11868105977522,5.78317047238862,5.86831139718582,5.56857700673614,5.6190253628142,5.82844176668225,5.82246704394002,6.15081679612975,5.90678357271317,5.83931594162073
51643,6.73014623964984,6.36225296804286,6.74785474919674,6.63853742365386,6.22314030919974,6.50685516476497,6.14378992469599,6.20550943317017,6.39368992040738,6.50849204962905,6.58422194970341,6.69879235625383
51646,7.61264282142723,7.51081411371227,7.84369903955493,7.77015497401903,7.74397935634848,7.51233640913558,7.41741603173546,7.07693067775094,7.03343870033084,7.01919758599875,7.17648077208151,7.07915143809256
51647,7.3010689054028,7.20987826629751,7.36739179718,7.23838409365578,7.21232760122418,7.4558764886596,7.52132284419454,7.58076996732543,7.29919809818892,7.34507007331858,7.40928186164894,7.36232171196593
5165,3.70697183681922,3.60418371984201,3.67035148744562,3.61914964727784,3.21059620640852,4.18143210573828,3.48028392760268,3.99252907430767,3.46253684476998,3.19890154142787,3.29815950649659,3.67841932148241
51650,6.18122207127088,6.05824032146286,6.17614637263052,6.31411385166954,6.36917091367476,6.34284732318321,6.19134734122884,6.46073498725887,6.8406108025335,6.49239753540556,6.47126184853922,6.19738511876688
51651,6.79843399158227,6.70234066688923,6.82785193352474,6.82199273282984,6.72623110587842,6.92142023020122,7.1787277246799,7.24441508180961,6.76722980054401,6.75974597529419,6.9702521490183,6.62231130694658
51654,5.47945210511865,5.50847929104911,5.27558687201529,5.28063373603556,5.46373079526047,5.30083309519888,5.83346776214086,5.59962563147643,5.63559906473029,5.63326279024383,5.74742740484014,5.43982848338852
51657,5.67440507739613,5.59546570366807,5.64024813565432,5.72089437374059,6.08696384713246,5.62101584816975,5.98691449607441,5.96701990774068,5.49347348277253,5.19182654936799,5.67209672308842,5.61606795497374
51659,5.93707052550416,5.66726140878036,5.56244812218872,5.48051380739429,5.44687959238366,4.77076346880885,5.71780272048696,5.90038840993079,5.81328343517195,6.04869538931718,6.23276049521806,5.74561667433947
5166,2.28920848946136,2.38551806773555,2.66853499339168,1.96880547653981,2.36835688952798,2.0376925375101,1.71849143508464,1.65069710585026,1.8134495457891,1.76063218924101,1.99043453567967,2.22324346894261
51660,4.63151370664689,4.49493008747926,4.43529898519161,4.96448030640088,4.6760864878448,5.40309542020784,5.18181738091306,5.40561740774308,5.35370253612405,5.25275846970674,5.08061353607734,4.9427143037349
51663,6.7404110691849,6.68362282861003,6.98575028976923,6.8407656949645,6.82912483283974,7.35303136628891,7.39087003982766,7.25396694813717,7.0976146428032,7.2344592702459,6.97527529585935,6.93962385229707
51665,4.68918643616134,4.53761544575119,4.62342855115313,4.91623674521896,4.69034892875813,4.50959490738912,4.51129849974645,4.28561056771037,4.73172190294005,5.24297037911517,4.80007964285585,5.46119112434423
51666,1.60019691258572,1.56980066544688,1.33005060394381,1.64608229112415,1.50171926533207,1.5095236468312,1.40171727093215,1.47356157918907,1.60328636828392,1.36430927573569,1.48644518328671,1.56980066544688
51668,7.10466493930811,6.97476540375149,7.03247445864376,6.91371454543449,7.01427141865707,6.53985890105089,6.95153775141712,6.8899250951233,7.19940686583166,7.2025617011159,7.22894856783448,7.28850562975998
51669,7.46492971932957,7.36659477757949,7.62044472789812,7.74281492160644,7.19365193772663,7.61444959987153,7.65199390036396,7.46255391743857,7.64283102753546,7.35929021064282,7.50077084356936,7.37842967417562
5167,3.23969949856936,3.13598516743313,3.03218749167304,3.30124418871474,3.24043031407143,2.95192292050203,3.4013810760525,3.45206632663532,3.12608202974994,3.30308049973165,3.05605206485951,3.05074135112156
51678,3.77177673728311,3.61812834208173,3.8608140317848,3.82866938947811,3.8175356795316,3.76911084820785,4.34247548599744,4.41629648178861,4.42181736574256,4.21324022551788,4.07043136303496,3.50520597096381
5168,1.49557440707735,1.49116433929714,1.3395513894173,2.45485404386194,1.73345792709441,1.46582961501319,1.50476875636539,1.47641208288587,1.22432172889932,0.912856600544301,1.49319529607941,1.24735127977455
51686,2.68179451464751,2.9425529368187,2.67368914120938,2.74245371789146,2.70717935616363,3.35441446271218,3.09960559835621,2.86339355616778,3.26300838864861,3.0871558815466,3.02386897576715,2.70213310212471
51690,7.46902132360097,7.18227671594755,7.57376144049742,7.38717792849103,7.43300317204494,7.55815011350834,7.99912414084945,7.80136063053545,7.66698002881006,7.84230773651537,7.61745559425914,7.32085752365605
