Feature,GSM530359.CEL,GSM530361.CEL,GSM530363.CEL,GSM530365.CEL,GSM530367.CEL,GSM530369.CEL,GSM530371.CEL,GSM530373.CEL,GSM530375.CEL,GSM530377.CEL
10084,8.431994934,8.280963716,8.208772183,8.252026584,7.407500876,7.483926772,8.020727673,8.061477303,8.067528261,8.007095479
10085,5.961357558,5.691597355,4.892644354,5.187512848,6.122522928,6.090911088,5.081717959,5.110410131,6.072537268,5.500810025
100861554,4.185714843,4.297382769,4.350750403,4.316706634,4.467768233,4.151672024,4.48324745,4.119346294,4.130564089,4.197100627
10087,7.341945675,7.056166251,7.591333383,7.848511919,7.338710882,6.926573198,6.9528218,6.898908825,7.136393457,7.213905247
1009,9.681482779,9.796306373,6.000075805,6.014260483,11.37732341,10.31908012,11.01252008,10.89245744,9.912442775,10.68981406
10090,4.142886072,4.354040257,4.153375811,4.347018691,4.562669818,4.402366084,4.443131207,4.214945243,4.375692295,4.209878147
10092,12.00711472,11.92772204,11.732041,11.84066143,12.00196011,12.00322895,11.90909386,11.92922107,11.87584109,11.82877161
10093,9.369831154,9.261452273,8.966538201,9.016876441,9.359328886,9.294092284,9.221053976,9.149355002,9.000145881,9.09637929
10094,11.72845116,11.65420455,11.69276572,11.78429622,11.69224916,11.90598627,11.50328113,11.65025941,11.53900355,11.54998013
10095,11.14254097,11.04497029,10.54728026,10.56294189,11.09648786,11.00981685,10.9279995,10.90801136,10.96083526,10.87071332
10096,11.63115349,11.60834967,11.14112919,11.2034023,11.65819619,11.50588903,11.57465266,11.61250563,11.43972879,11.33776507
10097,10.68729284,10.82108544,10.52605738,10.62737568,10.9285983,10.78075663,10.51159614,10.40638642,10.78459228,10.48226002
10098,9.141297367,9.008471588,10.39810771,10.35755694,8.949202277,8.859278856,8.929945498,8.745435475,9.109628965,9.103017412
10099,10.80279212,10.77413769,10.94345186,11.09338581,11.31397792,11.31007826,10.81541531,10.86706734,10.79405769,10.80712808
100996485,4.321894035,4.314716369,4.456753627,4.238787336,4.447301761,4.360231153,4.378290208,4.440854523,4.424169236,4.499750106
100996756,4.001030538,3.936479664,4.460128224,4.267927992,3.89207396,4.151919451,4.098768999,3.953215325,4.055343147,4.393114949
101,3.870509886,4.307238941,4.273064126,4.019421533,4.121776464,4.210436902,4.039482185,4.180283047,4.182502712,4.199336886
10100,3.715452493,3.72943249,3.965430584,3.819984903,3.768589174,3.582088746,3.528224242,3.619260184,3.881232471,3.656794024
10101,6.742308895,6.924713958,6.975740954,6.762032714,6.960776469,6.762657068,6.722414436,6.62893011,6.990741333,6.634546674
10102,5.355544841,5.178163644,5.087674785,4.876098922,5.127315196,5.14462985,5.458428569,5.656668036,5.457747278,5.362599158
10105,9.168983542,9.137715475,7.453488353,7.409883442,7.915562905,7.924816265,8.707989095,8.804675955,8.355268231,8.24142566
10106,9.127610203,9.343071795,10.15161101,10.17356133,9.318836282,9.561398062,9.529801724,9.448094491,9.827591422,9.876728081
10107,3.966960798,3.791337088,4.01626573,4.032899714,3.882380853,3.802840114,3.93590985,3.858232239,3.898971338,3.97097608
10109,11.94609793,11.85464165,11.68329745,11.75608854,11.99210831,11.95844717,11.87212949,11.91845436,11.76035046,11.86492632
10111,5.272507375,5.12715692,5.41513658,5.287328294,5.516902819,5.179305762,5.250999423,5.55196127,5.387501787,5.371142056
10112,9.975814219,9.900539459,8.221884634,8.355321303,8.314870374,8.609579145,10.14599823,10.0446114,9.259937976,9.671379664
10113,8.283276674,8.24883807,7.378889461,7.187543217,8.190820383,7.525301565,8.082510859,7.964996698,7.705920611,7.638129191
10114,5.844926278,5.58586489,6.752052532,6.974990982,5.808633763,6.336144774,6.320760437,6.187947954,6.428098964,6.394031282
